Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter),
Kernel scheduling parameters,kernel.sched_migration_cost_ns,"This variable is used to determine whether a process is still hot. If the running time of a process is shorter than the value of this variable, the kernel considers that the code of the process is still in the cache. Therefore, the process is still hot and is not considered during migration.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,100000,5000000,100000,,yes,
,kernel.sched_cfs_bandwidth_slice_us,Fixed size of the time slice applied for from the global time pool,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1000,50000,1000,,yes,
,kernel.sched_wakeup_granularity_ns,"This variable indicates the base of the minimum time that a process should run after it is woken up. The smaller the base, the higher the probability of preemption.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1000000,100000000,1000000,,yes,
,kernel.sched_latency_ns,Maximum running time of a running process.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1000000,100000000,1000000,,yes,
,kernel.sched_nr_migrate,How Many Processes Can Be Moved to Another CPU at a Time When Load Balancing Is Performed in the Case of Multiple CPUs?,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1,128,1,,yes,
,kernel.sched_min_granularity_ns,"Minimum running time of a process on the CPU. During this time, the kernel does not proactively select other processes for scheduling (in nanoseconds).",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1000000,100000000,1000000,,yes,
,kernel.sched_tunable_scaling,"Update method used when the kernel attempts to adjust the values of sched_min_granularity, sched_latency, and sched_wakeup_granularity. The value 0 indicates that the value is not adjusted, and the value 1 indicates that the value is adjusted based on the number of CPUs, 2: The linear proportion is adjusted based on the number of CPUs.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1; 2,string,,,,,yes,
Network adapter parameters,transparent_hugepage.defrag,Enabling or Disabling Transparent Hugepages,cat /sys/kernel/mm/transparent_hugepage/defrag | sed -n 's/.*\[\(.*\)\].*/\1/p',echo $value > /sys/kernel/mm/transparent_hugepage/defrag,FALSE,discrete,always;defer;defer+madvise;madvise;never,string,,,,,yes,
,transparent_hugepage.enabled,Enabling or Disabling Transparent Hugepages,cat /sys/kernel/mm/transparent_hugepage/enabled | sed -n 's/.*\[\(.*\)\].*/\1/p',echo $value > /sys/kernel/mm/transparent_hugepage/enabled,FALSE,discrete,always; madvise; never,string,,,,,yes,
,net.netfilter.nf_conntrack_max,"Maximum number of tracing connections
When a container is used, the nf_conntrack module cannot be disabled. Therefore, kernel parameters related to nf_conntrack need to be added to the /etc/sysctl.conf file to prevent packet loss caused by full table records.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,67108864,1,,yes,
